Season,Time,VTeam,Hteam,VScore,Hscore,Mar.,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,OPFGM,OPFGA,OPFG%,OP3FGM,OP3FGA,OP3FG%,OPFTM,OPFTA,OPFT%,OPOFF,OPDEF,OPREB,OPAST,OPSTL,OPBLK,OPTO,OPPF,OPPTS,H Betting Line
(2020-21),6/2/2021 0:00,ATL,NYK,103,89,14,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,39.43,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,100
(2020-21),6/2/2021 0:00,MEM,UTA,110,126,-16,42.85,91.78,0.47,11.15,31.36,0.36,16.44,21.33,0.77,11.15,35.32,46.47,26.92,9.10,5.06,13.29,18.74,113.29,41.26,91.78,0.47,11.15,31.36,0.36,16.44,21.33,0.77,11.15,35.32,46.47,26.92,9.10,5.06,13.29,18.74,113.29,380
(2020-21),6/2/2021 0:00,DAL,LAC,105,100,5,41.08,87.32,0.47,13.81,38.11,0.36,16.47,21.17,0.78,9.13,34.21,43.33,22.88,6.25,4.32,12.07,19.39,112.44,41.79,87.32,0.47,13.81,38.11,0.36,16.47,21.17,0.78,9.13,34.21,43.33,22.88,6.25,4.32,12.07,19.39,112.44,280
(2020-21),6/3/2021 0:00,DEN,POR,126,115,11,43.25,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.80,10.53,33.92,44.44,26.85,8.08,4.49,13.50,19.08,115.06,41.29,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.80,10.53,33.92,44.44,26.85,8.08,4.49,13.50,19.08,115.06,175
(2020-21),6/3/2021 0:00,PHO,LAL,113,100,13,43.31,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,40.63,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,120
(2020-21),6/4/2021 0:00,LAC,DAL,104,97,7,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,41.08,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,-145
(2020-21),6/5/2021 0:00,MIL,BRO,107,115,-8,44.74,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,43.14,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,145
(2020-21),6/6/2021 0:00,ATL,PHI,128,124,4,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,41.40,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,170
(2020-21),6/6/2021 0:00,DAL,LAC,111,126,-15,41.08,87.32,0.47,13.81,38.11,0.36,16.47,21.17,0.78,9.13,34.21,43.33,22.88,6.25,4.32,12.07,19.39,112.44,41.79,87.32,0.47,13.81,38.11,0.36,16.47,21.17,0.78,9.13,34.21,43.33,22.88,6.25,4.32,12.07,19.39,112.44,225
(2020-21),6/7/2021 0:00,MIL,BRO,86,125,-39,44.74,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,43.14,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,-135
(2020-21),6/7/2021 0:00,DEN,PHO,105,122,-17,43.25,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.80,10.53,33.92,44.44,26.85,8.08,4.49,13.50,19.08,115.06,43.31,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.80,10.53,33.92,44.44,26.85,8.08,4.49,13.50,19.08,115.06,190
(2020-21),6/8/2021 0:00,ATL,PHI,102,118,-16,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,41.40,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,240
(2020-21),6/8/2021 0:00,LAC,UTA,109,112,-3,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,41.26,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,130
(2020-21),6/9/2021 0:00,DEN,PHO,98,123,-25,43.25,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.80,10.53,33.92,44.44,26.85,8.08,4.49,13.50,19.08,115.06,43.31,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.80,10.53,33.92,44.44,26.85,8.08,4.49,13.50,19.08,115.06,180
(2020-21),6/10/2021 0:00,BRO,MIL,83,86,-3,43.14,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.80,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,44.74,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.80,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,140
(2020-21),6/10/2021 0:00,LAC,UTA,111,117,-6,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,41.26,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,120
(2020-21),6/11/2021 0:00,PHI,ATL,127,111,16,41.40,86.90,0.48,11.26,30.13,0.37,19.57,25.50,0.77,10.03,35.03,45.06,23.69,9.10,6.21,14.44,20.22,113.64,40.79,86.90,0.48,11.26,30.13,0.37,19.57,25.50,0.77,10.03,35.03,45.06,23.69,9.10,6.21,14.44,20.22,113.64,-130
(2020-21),6/11/2021 0:00,PHO,DEN,116,102,14,43.31,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,43.25,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,110
(2020-21),6/12/2021 0:00,UTA,LAC,106,132,-26,41.26,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.80,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,41.79,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.80,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,175
(2020-21),6/13/2021 0:00,BRO,MIL,96,107,-11,43.14,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.80,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,44.74,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.80,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,-135
(2020-21),6/13/2021 0:00,PHO,DEN,125,118,7,43.31,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,43.25,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,-155
(2020-21),6/14/2021 0:00,PHI,ATL,100,103,-3,41.40,86.90,0.48,11.26,30.13,0.37,19.57,25.50,0.77,10.03,35.03,45.06,23.69,9.10,6.21,14.44,20.22,113.64,40.79,86.90,0.48,11.26,30.13,0.37,19.57,25.50,0.77,10.03,35.03,45.06,23.69,9.10,6.21,14.44,20.22,113.64,-150
(2020-21),6/14/2021 0:00,UTA,LAC,104,118,-14,41.26,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.80,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,41.79,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.80,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,190
(2020-21),6/15/2021 0:00,MIL,BRO,108,114,-6,44.74,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,43.14,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,-120
(2020-21),6/16/2021 0:00,ATL,PHI,109,106,3,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,41.40,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,250
(2020-21),6/16/2021 0:00,LAC,UTA,119,111,8,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,41.26,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,310
(2020-21),6/17/2021 0:00,BRO,MIL,89,104,-15,43.14,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.80,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,44.74,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.80,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,175
(2020-21),6/18/2021 0:00,PHI,ATL,104,99,5,41.40,86.90,0.48,11.26,30.13,0.37,19.57,25.50,0.77,10.03,35.03,45.06,23.69,9.10,6.21,14.44,20.22,113.64,40.79,86.90,0.48,11.26,30.13,0.37,19.57,25.50,0.77,10.03,35.03,45.06,23.69,9.10,6.21,14.44,20.22,113.64,175
(2020-21),6/18/2021 0:00,UTA,LAC,119,131,-12,41.26,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.80,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,41.79,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.80,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,-155
(2020-21),6/19/2021 0:00,MIL,BRO,115,111,4,44.74,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,43.14,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,-145
(2020-21),6/20/2021 0:00,LAC,PHO,114,120,-6,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,43.31,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,150
(2020-21),6/20/2021 0:00,ATL,PHI,103,96,7,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,41.40,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,240
(2020-21),6/22/2021 0:00,LAC,PHO,103,104,-1,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,43.31,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.10,13.19,19.21,114.01,
(2020-21),6/23/2021 0:00,ATL,MIL,116,113,3,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,44.74,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,
(2020-21),6/24/2021 0:00,PHO,LAC,92,106,-14,43.31,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,41.79,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,
(2020-21),6/25/2021 0:00,ATL,MIL,,,0,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,44.74,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,
(2020-21),6/26/2021 0:00,PHO,LAC,,,0,43.31,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,41.79,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,
(2020-21),6/27/2021 0:00,MIL,ATL,,,0,44.74,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,40.79,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,
