Season,Time,VTeam,Hteam,VScore,Hscore,Mar.,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,OPFGM,OPFGA,OPFG%,OP3FGM,OP3FGA,OP3FG%,OPFTM,OPFTA,OPFT%,OPOFF,OPDEF,OPREB,OPAST,OPSTL,OPBLK,OPTO,OPPF,OPPTS,H Betting Line
(2019-20),8/30/2020 0:00,BOS,TOR,112,94,18,41.3,89.6,0.46,12.6,34.5,0.36,18.6,23.2,0.80,10.7,35.4,46.1,23,8.3,5.6,13.8,21.6,113.7,37.79,88.32,0.43,13.1,38.86,0.34,17.83,23.19,0.77,10.92,35.14,46.06,25.57,7.22,5.49,16.83,20.36,106.51,110
(2019-20),8/30/2020 0:00,LAC,DAL,111,97,14,41.6,89.2,0.47,12.4,33.5,0.37,20.8,26.3,0.79,10.7,37,47.7,23.7,7.1,4.7,14.6,22.1,116.3,41.91,91.57,0.46,12.25,34.87,0.35,16,21.04,0.76,10.43,35,45.43,23.92,7,4.15,11.95,21.35,112.07,-500
(2019-20),8/30/2020 0:00,DEN,UTA,119,107,12,42,88.9,0.47,11,30.6,0.36,16.2,20.9,0.78,10.8,33.4,44.1,26.7,8,4.6,13.8,20.3,111.3,40.69,89.13,0.46,10.97,31.04,0.35,16.46,21.46,0.77,9.56,33.14,42.69,21.5,7.86,4.57,12.35,20.85,108.82,120
(2019-20),8/31/2020 0:00,MIA,MIL,115,104,11,39.5,84.4,0.47,13.4,35.4,0.38,19.7,25.2,0.78,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112,38.95,94,0.41,13.97,39.33,0.36,16.73,21.25,0.79,9.49,36.32,45.81,24.16,7.37,4.47,14.11,21.73,108.59,200
(2019-20),8/31/2020 0:00,HOU,OCT,100,104,-4,40.8,90.4,0.45,15.6,45.3,0.35,20.6,26.1,0.79,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8,40.79,89.64,0.46,11.31,33.26,0.34,15.54,19.56,0.80,10.47,34.33,44.81,23,7.01,4.03,14.22,22.79,108.43,-240
(2019-20),9/1/2020 0:00,UTA,DEN,78,80,-2,40.1,85.1,0.47,13.4,35.2,0.38,17.8,22.8,0.78,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3,39.99,86.45,0.46,12.12,33.88,0.36,17.08,22.51,0.76,10.08,32.56,42.64,25.37,7.19,4.44,14.26,20.47,109.18,110
(2019-20),9/1/2020 0:00,BOS,TOR,102,99,3,41.3,89.6,0.46,12.6,34.5,0.36,18.6,23.2,0.80,10.7,35.4,46.1,23,8.3,5.6,13.8,21.6,113.7,37.79,88.32,0.43,13.1,38.86,0.34,17.83,23.19,0.77,10.92,35.14,46.06,25.57,7.22,5.49,16.83,20.36,106.51,110
(2019-20),9/2/2020 0:00,OCT,HOU,102,104,-2,40,85.5,0.47,10.7,30.2,0.36,19.8,24.8,0.80,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4,42.29,91.51,0.46,12.22,35.03,0.35,18.04,23.69,0.76,11.15,36.74,47.89,25.26,8.03,4.92,16.15,21.04,114.85,200
(2019-20),9/2/2020 0:00,MIA,MIL,116,114,2,39.5,84.4,0.47,13.4,35.4,0.38,19.7,25.2,0.78,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112,38.95,94,0.41,13.97,39.33,0.36,16.73,21.25,0.79,9.49,36.32,45.81,24.16,7.37,4.47,14.11,21.73,108.59,200
(2019-20),9/3/2020 0:00,TOR,BOS,104,103,1,40.2,87.9,0.46,13.8,37,0.37,18.5,23.2,0.80,9.5,35.9,45.4,25.2,8.8,5,14.8,21.7,112.8,38.39,87.06,0.44,11.82,34.78,0.34,18.75,24.46,0.77,10.32,34.01,44.33,22.4,7.14,5.5,15.24,20.65,107.35,-130
(2019-20),9/3/2020 0:00,DEN,LAC,97,120,-23,42,88.9,0.47,11,30.6,0.36,16.2,20.9,0.78,10.8,33.4,44.1,26.7,8,4.6,13.8,20.3,111.3,39.53,90.19,0.44,12.31,35.64,0.35,18.54,24.53,0.76,10.71,34.6,45.31,23.74,7.5,4.69,14.07,22.88,109.9,335
(2019-20),9/4/2020 0:00,MIL,MIA,100,115,-15,43.3,90.9,0.48,13.8,38.9,0.36,18.3,24.7,0.74,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7,38.78,86.66,0.45,13.1,37.71,0.35,18.44,23.56,0.78,9.23,33.3,42.53,24.58,7.47,4.14,14,21.7,109.1,-210
(2019-20),9/4/2020 0:00,HOU,LAL,112,97,15,40.8,90.4,0.45,15.6,45.3,0.35,20.6,26.1,0.79,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8,39.06,87.14,0.45,11.65,33.42,0.35,17.89,22.9,0.78,9.41,32.86,42.27,23.41,8.24,3.7,15.92,21.75,107.65,245
(2019-20),9/5/2020 0:00,TOR,BOS,100,93,7,40.2,87.9,0.46,13.8,37,0.37,18.5,23.2,0.80,9.5,35.9,45.4,25.2,8.8,5,14.8,21.7,112.8,38.39,87.06,0.44,11.82,34.78,0.34,18.75,24.46,0.77,10.32,34.01,44.33,22.4,7.14,5.5,15.24,20.65,107.35,110
(2019-20),9/5/2020 0:00,DEN,LAC,110,101,9,42,88.9,0.47,11,30.6,0.36,16.2,20.9,0.78,10.8,33.4,44.1,26.7,8,4.6,13.8,20.3,111.3,39.53,90.19,0.44,12.31,35.64,0.35,18.54,24.53,0.76,10.71,34.6,45.31,23.74,7.5,4.69,14.07,22.88,109.9,350
(2019-20),9/6/2020 0:00,MIL,MIA,118,115,3,43.3,90.9,0.48,13.8,38.9,0.36,18.3,24.7,0.74,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7,38.78,86.66,0.45,13.1,37.71,0.35,18.44,23.56,0.78,9.23,33.3,42.53,24.58,7.47,4.14,14,21.7,109.1,-125
